Предложение,Тональность,Ссылка
"Андрей Бочаров выразил соболезнования в связи со смертью Владимира Жириновского
",Negative,https://riac34.ru/news/142612/
Губернатор Волгоградской области Андрей Бочаров выразил соболезнования в связи с уходом из жизни лидера Либерально-демократической партии России Владимира Жириновского,Negative,https://riac34.ru/news/142612/
Владимир Марченко встретился с жильцами нескольких многоквартирных домов на ул,Negative,https://riac34.ru/news/142637/
"Вопросы подготовки и своевременного старта работ на объектах обсуждались сегодня, 11 апреля, на оперативном совещании в администрации региона, которое провел губернатор Андрей Бочаров",Positive,https://riac34.ru/news/142761/
"Спортивную инфраструктуру сегодня, 12 апреля, проинспектировал глава города Владимир Марченко",Negative,https://riac34.ru/news/142836/
"Глава города Владимир Марченко поручил распределить события по времени и локациям так, чтобы жители и гости региональной столицы могли посетить каждое из них",Positive,https://riac34.ru/news/142839/
Глава Волгограда Владимир Марченко посетил один из пунктов временного размещения беженцев из Донецкой и Луганской народных республик в Ворошиловском районе,Positive,https://riac34.ru/news/142845/
губернатора Евгений Харичкин,Positive,https://riac34.ru/news/142881/
"Такое решение сегодня, 15 апреля, принял губернатор Волгоградской области Андрей Бочаров в ходе рабочей поездки на бывший проблемный объект долевого строительства",Positive,https://riac34.ru/news/142936/
Сегодня глава Волгограда Владимир Марченко проверил качество организации пребывания беженцев в пункте временного размещения в Тракторозаводском районе,Negative,https://riac34.ru/news/142948/
"Как сообщает пресс-служба представительского собрания, с ежегодным отчетом о работе сегодня, 15 апреля, перед депутатами выступил председатель надзорного органа Александр Мордвинцев",Negative,https://riac34.ru/news/142965/
Вместе с молодежью и ветеранами участвовала в наведении чистоты депутат Волгоградской городской Думы от Тракторозаводского района Ирина Фомина,Negative,https://riac34.ru/news/142967/
"Сегодня, 15 апреля, глава Волгограда Владимир Марченко побывал с рабочей поездкой в Советском районе",Negative,https://riac34.ru/news/142974/
В работе приняла участие председатель комитета экономической политики и развития Волгоградской области Галина Быкадорова,Negative,https://riac34.ru/news/143029/
"Сегодня, 18 апреля, глава Волгограда Владимир Марченко провел расширенное заседание городской антитеррористической комиссии Волгограда",Negative,https://riac34.ru/news/143043/
Сегодня губернатор Волгоградской области Андрей Бочаров провел рабочую встречу с руководителем Федерального агентства по туризму Зариной Догузовой,Positive,https://riac34.ru/news/143063/
"Сегодня, 19 апреля, губернатор Волгоградской области Андрей Бочаров представил план первоочередных действий по развитию экономики Волгоградской области в условиях санкций",Positive,https://riac34.ru/news/143088/
"Как сообщает пресс-служба регпарламента, к всероссийской акции присоединились председатель Облдумы Александр Блошкин, руководитель профильного парламентского комитета Наталья Семёнова, региональные депутаты Екатерина Мицукова, Михаил Струк и Денис Хлыбов",Negative,https://riac34.ru/news/143095/
Губернатор Андрей Бочаров провел выездное рабочее совещание на базе городской клинической больницы им,Negative,https://riac34.ru/news/143107/
"Андрей Бочаров принял участие в акциях, посвященных Национальному дню донора",Negative,https://riac34.ru/news/143117/
Сегодня Андрей Бочаров проинспектировал развитие медицинских учреждений,Positive,https://riac34.ru/news/143123/
